date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:17	91/91	---MCZ	200	added ('OK')	text/plain	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/robots.txt		(from )
09:40:18	130607/130607	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/	E:/Test/Gestor/web-spark.yolasite.com/index.html	(from )
09:40:20	18666/18666	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/media-library/b8fb158c449940f3b9c1357b03b11512/cdxx7s.png	E:/Test/Gestor/web-spark.yolasite.com/ws/media-library/b8fb158c449940f3b9c1357b03b11512/cdxx7s.png	(from https://web-spark.yolasite.com/)
09:40:22	590/590	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:22%20GMT	https://web-spark.yolasite.com/ws/globals/header-code/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/header-code/index.html	(from https://web-spark.yolasite.com/)
09:40:24	590/590	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:24%20GMT	https://web-spark.yolasite.com/ws/block-templates/header/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/header/index.html	(from https://web-spark.yolasite.com/)
09:40:25	590/590	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:25%20GMT	https://web-spark.yolasite.com/ws/globals/global-header/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/global-header/index.html	(from https://web-spark.yolasite.com/)
09:40:25	590/590	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:25%20GMT	https://web-spark.yolasite.com/ws/globals/business-logo/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/business-logo/index.html	(from https://web-spark.yolasite.com/)
09:40:27	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/Test/Gestor/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://web-spark.yolasite.com/)
09:40:27	25502/25502	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2011%20Sep%202020%2007:40:21%20GMT	https://web-spark.yolasite.com/cdn-cgi/bm/cv/2172558837/api.js	E:/Test/Gestor/web-spark.yolasite.com/cdn-cgi/bm/cv/2172558837/api.js	(from https://web-spark.yolasite.com/)
09:40:31	81474/81474	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/resized-images/b40f1e8efd40415fae1eb02bba9b256f/gestor.png	E:/Test/Gestor/web-spark.yolasite.com/ws/resized-images/b40f1e8efd40415fae1eb02bba9b256f/gestor.png	(from https://web-spark.yolasite.com/)
09:40:31	234896/234896	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/bundles/css/7f059e9b1eabc8572da5a428eeb38d3c.css	E:/Test/Gestor/web-spark.yolasite.com/ws/bundles/css/7f059e9b1eabc8572da5a428eeb38d3c.css	(from https://web-spark.yolasite.com/)
09:40:42	570/570	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:41%20GMT	https://web-spark.yolasite.com/ws/globals/nav-menu/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/nav-menu/index.9.delayed	(from https://web-spark.yolasite.com/)
09:40:42	614/614	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:42%20GMT	https://web-spark.yolasite.com/ws/block-templates/cover-with-plain-text/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/cover-with-plain-text/index.html	(from https://web-spark.yolasite.com/)
09:40:45	116631/116631	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/services/	E:/Test/Gestor/web-spark.yolasite.com/services/index.html	(from https://web-spark.yolasite.com/)
09:40:45	614/614	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:45%20GMT	https://web-spark.yolasite.com/ws/block-templates/cover-with-centered-features/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/cover-with-centered-features/index.c.delayed	(from https://web-spark.yolasite.com/)
09:40:46	963/963	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/wall-clock-5887.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/wall-clock-5887.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:40:46	915/915	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/navigation-map-695.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/navigation-map-695.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:40:47	1685/1685	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/coins-2277.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/cover-with-centered-features/icons/coins-2277.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:40:48	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:48%20GMT	https://web-spark.yolasite.com/ws/block-templates/cover-with-business-info/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/cover-with-business-info/index.html	(from https://web-spark.yolasite.com/)
